[microsoft__dit-base | Fold 1 | Frozen 1/15] MAE 9.308
[microsoft__dit-base | Fold 1 | FT 21/30] MAE 7.804
[microsoft__dit-base | Fold 1 | FT 22/30] MAE 10.746
[microsoft__dit-base | Fold 1 | FT 23/30] MAE 7.705
[microsoft__dit-base | Fold 1 | FT 24/30] MAE 9.046
[microsoft__dit-base | Fold 1 | FT 25/30] MAE 8.726
[microsoft__dit-base | Fold 1 | FT 26/30] MAE 7.688
[microsoft__dit-base | Fold 1 | FT 27/30] MAE 9.700
[microsoft__dit-base | Fold 1 | FT 28/30] MAE 9.984
[microsoft__dit-base | Fold 1 | FT 29/30] MAE 9.736
[microsoft__dit-base | Fold 1 | FT 30/30] MAE 10.465
[microsoft__dit-base] Evaluating best checkpoint on fold 1 …

===== microsoft__dit-base | Fold 2/5 =====
Some weights of BeitModel were not initialized from the model checkpoint at microsoft/dit-base and are newly initialized: ['pooler.layernorm.bias', 'pooler.layernorm.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[microsoft__dit-base | Fold 2 | Frozen 1/15] MAE 17.449
[microsoft__dit-base | Fold 2 | Frozen 2/15] MAE 9.803
[microsoft__dit-base | Fold 2 | Frozen 3/15] MAE 7.957
[microsoft__dit-base | Fold 2 | Frozen 4/15] MAE 11.858
[microsoft__dit-base | Fold 2 | Frozen 5/15] MAE 10.218
[microsoft__dit-base | Fold 2 | Frozen 6/15] MAE 9.044
[microsoft__dit-base | Fold 2 | Frozen 7/15] MAE 9.160
[microsoft__dit-base | Fold 2 | Frozen 8/15] MAE 9.618
[microsoft__dit-base | Fold 2 | Frozen 9/15] MAE 8.953
[microsoft__dit-base | Fold 2 | Frozen 10/15] MAE 9.059
[microsoft__dit-base | Fold 2 | Frozen 11/15] MAE 8.696
[microsoft__dit-base | Fold 2 | Frozen 12/15] MAE 9.159
[microsoft__dit-base | Fold 2 | Frozen 13/15] MAE 8.657
[microsoft__dit-base | Fold 2 | Frozen 14/15] MAE 8.722
[microsoft__dit-base | Fold 2 | Frozen 15/15] MAE 8.841
[microsoft__dit-base] Unfreezing backbone …
[microsoft__dit-base | Fold 2 | FT 1/30] MAE 9.361
[microsoft__dit-base | Fold 2 | FT 2/30] MAE 7.551
[microsoft__dit-base | Fold 2 | FT 3/30] MAE 7.651
[microsoft__dit-base | Fold 2 | FT 4/30] MAE 7.627
[microsoft__dit-base | Fold 2 | FT 5/30] MAE 7.484
[microsoft__dit-base | Fold 2 | FT 6/30] MAE 7.312
[microsoft__dit-base | Fold 2 | FT 7/30] MAE 7.195
[microsoft__dit-base | Fold 2 | FT 8/30] MAE 7.690
[microsoft__dit-base | Fold 2 | FT 9/30] MAE 6.904
[microsoft__dit-base | Fold 2 | FT 10/30] MAE 8.931
[microsoft__dit-base | Fold 2 | FT 11/30] MAE 6.713
[microsoft__dit-base | Fold 2 | FT 12/30] MAE 6.553
[microsoft__dit-base | Fold 2 | FT 13/30] MAE 6.687
[microsoft__dit-base | Fold 2 | FT 14/30] MAE 6.734
[microsoft__dit-base | Fold 2 | FT 15/30] MAE 7.415
[microsoft__dit-base | Fold 2 | FT 16/30] MAE 6.471
[microsoft__dit-base | Fold 2 | FT 17/30] MAE 6.674
[microsoft__dit-base | Fold 2 | FT 18/30] MAE 6.265
[microsoft__dit-base | Fold 2 | FT 19/30] MAE 7.274
[microsoft__dit-base | Fold 2 | FT 20/30] MAE 6.033
[microsoft__dit-base | Fold 2 | FT 21/30] MAE 7.795
[microsoft__dit-base | Fold 2 | FT 22/30] MAE 6.354
[microsoft__dit-base | Fold 2 | FT 23/30] MAE 6.844
[microsoft__dit-base | Fold 2 | FT 24/30] MAE 6.825
[microsoft__dit-base | Fold 2 | FT 25/30] MAE 6.783
[microsoft__dit-base | Fold 2 | FT 26/30] MAE 6.227
[microsoft__dit-base | Fold 2 | FT 27/30] MAE 8.011
[microsoft__dit-base | Fold 2 | FT 28/30] MAE 6.320
[microsoft__dit-base | Fold 2 | FT 29/30] MAE 6.139
[microsoft__dit-base | Fold 2 | FT 30/30] MAE 8.319
[microsoft__dit-base] Evaluating best checkpoint on fold 2 …

===== microsoft__dit-base | Fold 3/5 =====
Some weights of BeitModel were not initialized from the model checkpoint at microsoft/dit-base and are newly initialized: ['pooler.layernorm.bias', 'pooler.layernorm.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[microsoft__dit-base | Fold 3 | Frozen 1/15] MAE 50.462
[microsoft__dit-base | Fold 3 | Frozen 2/15] MAE 38.430
[microsoft__dit-base | Fold 3 | Frozen 3/15] MAE 26.445
[microsoft__dit-base | Fold 3 | Frozen 4/15] MAE 14.435
[microsoft__dit-base | Fold 3 | Frozen 5/15] MAE 8.614
[microsoft__dit-base | Fold 3 | Frozen 6/15] MAE 10.179
[microsoft__dit-base | Fold 3 | Frozen 7/15] MAE 9.945
[microsoft__dit-base | Fold 3 | Frozen 8/15] MAE 9.370
[microsoft__dit-base | Fold 3 | Frozen 9/15] MAE 9.298
[microsoft__dit-base | Fold 3 | Frozen 10/15] MAE 9.292
[microsoft__dit-base | Fold 3 | Frozen 11/15] MAE 9.227
[microsoft__dit-base | Fold 3 | Frozen 12/15] MAE 9.326
[microsoft__dit-base | Fold 3 | Frozen 13/15] MAE 9.209
[microsoft__dit-base | Fold 3 | Frozen 14/15] MAE 9.024
[microsoft__dit-base | Fold 3 | Frozen 15/15] MAE 9.190
[microsoft__dit-base] Unfreezing backbone …
[microsoft__dit-base | Fold 3 | FT 1/30] MAE 8.659
[microsoft__dit-base | Fold 3 | FT 2/30] MAE 8.353
[microsoft__dit-base | Fold 3 | FT 3/30] MAE 8.385
[microsoft__dit-base | Fold 3 | FT 4/30] MAE 8.234
[microsoft__dit-base | Fold 3 | FT 5/30] MAE 8.105
[microsoft__dit-base | Fold 3 | FT 6/30] MAE 8.438
[microsoft__dit-base | Fold 3 | FT 7/30] MAE 8.097
[microsoft__dit-base | Fold 3 | FT 8/30] MAE 8.023
[microsoft__dit-base | Fold 3 | FT 9/30] MAE 8.343
[microsoft__dit-base | Fold 3 | FT 10/30] MAE 7.859
[microsoft__dit-base | Fold 3 | FT 11/30] MAE 8.245
[microsoft__dit-base | Fold 3 | FT 12/30] MAE 7.808
[microsoft__dit-base | Fold 3 | FT 13/30] MAE 7.962
[microsoft__dit-base | Fold 3 | FT 14/30] MAE 7.976
[microsoft__dit-base | Fold 3 | FT 15/30] MAE 7.832
[microsoft__dit-base | Fold 3 | FT 16/30] MAE 7.761
[microsoft__dit-base | Fold 3 | FT 17/30] MAE 7.727
[microsoft__dit-base | Fold 3 | FT 18/30] MAE 8.513
[microsoft__dit-base | Fold 3 | FT 19/30] MAE 7.631
[microsoft__dit-base | Fold 3 | FT 20/30] MAE 7.749
[microsoft__dit-base | Fold 3 | FT 21/30] MAE 7.628
[microsoft__dit-base | Fold 3 | FT 22/30] MAE 8.382
[microsoft__dit-base | Fold 3 | FT 23/30] MAE 7.543
[microsoft__dit-base | Fold 3 | FT 24/30] MAE 8.482
[microsoft__dit-base | Fold 3 | FT 25/30] MAE 8.436
[microsoft__dit-base | Fold 3 | FT 26/30] MAE 7.519
[microsoft__dit-base | Fold 3 | FT 27/30] MAE 7.620
[microsoft__dit-base | Fold 3 | FT 28/30] MAE 7.592
[microsoft__dit-base | Fold 3 | FT 29/30] MAE 8.053
[microsoft__dit-base | Fold 3 | FT 30/30] MAE 7.395
[microsoft__dit-base] Evaluating best checkpoint on fold 3 …

===== microsoft__dit-base | Fold 4/5 =====
Some weights of BeitModel were not initialized from the model checkpoint at microsoft/dit-base and are newly initialized: ['pooler.layernorm.bias', 'pooler.layernorm.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[microsoft__dit-base | Fold 4 | Frozen 1/15] MAE 7.096
[microsoft__dit-base | Fold 4 | Frozen 2/15] MAE 6.953
[microsoft__dit-base | Fold 4 | Frozen 3/15] MAE 6.884
[microsoft__dit-base | Fold 4 | Frozen 4/15] MAE 7.063
[microsoft__dit-base | Fold 4 | Frozen 5/15] MAE 6.866
[microsoft__dit-base | Fold 4 | Frozen 6/15] MAE 6.912
[microsoft__dit-base | Fold 4 | Frozen 7/15] MAE 6.947
[microsoft__dit-base | Fold 4 | Frozen 8/15] MAE 6.887
[microsoft__dit-base | Fold 4 | Frozen 9/15] MAE 6.893
[microsoft__dit-base | Fold 4 | Frozen 10/15] MAE 6.927
[microsoft__dit-base | Fold 4 | Frozen 11/15] MAE 6.899
[microsoft__dit-base | Fold 4 | Frozen 12/15] MAE 6.883
[microsoft__dit-base | Fold 4 | Frozen 13/15] MAE 6.878
[microsoft__dit-base | Fold 4 | Frozen 14/15] MAE 6.931
[microsoft__dit-base | Fold 4 | Frozen 15/15] MAE 6.825
[microsoft__dit-base] Unfreezing backbone …
[microsoft__dit-base | Fold 4 | FT 1/30] MAE 6.662
[microsoft__dit-base | Fold 4 | FT 2/30] MAE 6.793
[microsoft__dit-base | Fold 4 | FT 3/30] MAE 6.422
[microsoft__dit-base | Fold 4 | FT 4/30] MAE 6.897
[microsoft__dit-base | Fold 4 | FT 5/30] MAE 6.111
[microsoft__dit-base | Fold 4 | FT 6/30] MAE 6.170
[microsoft__dit-base | Fold 4 | FT 7/30] MAE 7.439
[microsoft__dit-base | Fold 4 | FT 8/30] MAE 7.134
[microsoft__dit-base | Fold 4 | FT 9/30] MAE 6.397
[microsoft__dit-base | Fold 4 | FT 10/30] MAE 6.370
[microsoft__dit-base | Fold 4 | FT 11/30] MAE 5.991
[microsoft__dit-base | Fold 4 | FT 12/30] MAE 6.223
[microsoft__dit-base | Fold 4 | FT 13/30] MAE 5.876
[microsoft__dit-base | Fold 4 | FT 14/30] MAE 6.861
[microsoft__dit-base | Fold 4 | FT 15/30] MAE 5.937
[microsoft__dit-base | Fold 4 | FT 16/30] MAE 6.131
[microsoft__dit-base | Fold 4 | FT 17/30] MAE 5.775
[microsoft__dit-base | Fold 4 | FT 18/30] MAE 6.798
[microsoft__dit-base | Fold 4 | FT 19/30] MAE 6.010
[microsoft__dit-base | Fold 4 | FT 20/30] MAE 6.057
[microsoft__dit-base | Fold 4 | FT 21/30] MAE 6.346
[microsoft__dit-base | Fold 4 | FT 22/30] MAE 6.475
[microsoft__dit-base | Fold 4 | FT 23/30] MAE 6.468
[microsoft__dit-base | Fold 4 | FT 24/30] MAE 6.747
[microsoft__dit-base | Fold 4 | FT 25/30] MAE 6.239
[microsoft__dit-base | Fold 4 | FT 26/30] MAE 6.626
[microsoft__dit-base | Fold 4 | FT 27/30] MAE 5.983
[microsoft__dit-base | Fold 4 | FT 28/30] MAE 6.240
[microsoft__dit-base | Fold 4 | FT 29/30] MAE 6.446
[microsoft__dit-base | Fold 4 | FT 30/30] MAE 6.979
[microsoft__dit-base] Evaluating best checkpoint on fold 4 …

===== microsoft__dit-base | Fold 5/5 =====
Some weights of BeitModel were not initialized from the model checkpoint at microsoft/dit-base and are newly initialized: ['pooler.layernorm.bias', 'pooler.layernorm.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[microsoft__dit-base | Fold 5 | Frozen 1/15] MAE 12.925
[microsoft__dit-base | Fold 5 | Frozen 2/15] MAE 7.392
[microsoft__dit-base | Fold 5 | Frozen 3/15] MAE 7.703
[microsoft__dit-base | Fold 5 | Frozen 4/15] MAE 7.242
[microsoft__dit-base | Fold 5 | Frozen 5/15] MAE 7.281
[microsoft__dit-base | Fold 5 | Frozen 6/15] MAE 7.232
[microsoft__dit-base | Fold 5 | Frozen 7/15] MAE 7.228
[microsoft__dit-base | Fold 5 | Frozen 8/15] MAE 7.222
[microsoft__dit-base | Fold 5 | Frozen 9/15] MAE 7.215
[microsoft__dit-base | Fold 5 | Frozen 10/15] MAE 7.211
[microsoft__dit-base | Fold 5 | Frozen 11/15] MAE 7.205
[microsoft__dit-base | Fold 5 | Frozen 12/15] MAE 7.223
[microsoft__dit-base | Fold 5 | Frozen 13/15] MAE 7.228
[microsoft__dit-base | Fold 5 | Frozen 14/15] MAE 7.234
[microsoft__dit-base | Fold 5 | Frozen 15/15] MAE 7.190
[microsoft__dit-base] Unfreezing backbone …
[microsoft__dit-base | Fold 5 | FT 1/30] MAE 7.031
[microsoft__dit-base | Fold 5 | FT 2/30] MAE 6.844
[microsoft__dit-base | Fold 5 | FT 3/30] MAE 6.832
[microsoft__dit-base | Fold 5 | FT 4/30] MAE 6.898
[microsoft__dit-base | Fold 5 | FT 5/30] MAE 7.452
[microsoft__dit-base | Fold 5 | FT 6/30] MAE 7.289
[microsoft__dit-base | Fold 5 | FT 7/30] MAE 7.375
[microsoft__dit-base | Fold 5 | FT 8/30] MAE 5.972
[microsoft__dit-base | Fold 5 | FT 9/30] MAE 6.249
[microsoft__dit-base | Fold 5 | FT 10/30] MAE 8.893
[microsoft__dit-base | Fold 5 | FT 11/30] MAE 6.997
[microsoft__dit-base | Fold 5 | FT 12/30] MAE 6.400
[microsoft__dit-base | Fold 5 | FT 13/30] MAE 6.913
[microsoft__dit-base | Fold 5 | FT 14/30] MAE 5.665
[microsoft__dit-base | Fold 5 | FT 15/30] MAE 6.077
[microsoft__dit-base | Fold 5 | FT 16/30] MAE 6.633
[microsoft__dit-base | Fold 5 | FT 17/30] MAE 5.588
[microsoft__dit-base | Fold 5 | FT 18/30] MAE 5.903
[microsoft__dit-base | Fold 5 | FT 19/30] MAE 5.829
[microsoft__dit-base | Fold 5 | FT 20/30] MAE 5.918
[microsoft__dit-base | Fold 5 | FT 21/30] MAE 6.545
[microsoft__dit-base | Fold 5 | FT 22/30] MAE 5.864
[microsoft__dit-base | Fold 5 | FT 23/30] MAE 6.061
[microsoft__dit-base | Fold 5 | FT 24/30] MAE 5.687
[microsoft__dit-base | Fold 5 | FT 25/30] MAE 6.020
[microsoft__dit-base | Fold 5 | FT 26/30] MAE 7.206
[microsoft__dit-base | Fold 5 | FT 27/30] MAE 5.739
[microsoft__dit-base | Fold 5 | FT 28/30] MAE 6.735
[microsoft__dit-base | Fold 5 | FT 29/30] MAE 5.723
[microsoft__dit-base | Fold 5 | FT 30/30] MAE 6.942
[microsoft__dit-base] Evaluating best checkpoint on fold 5 …

══════ CV SUMMARY ══════
MAE       : 6.496 ± 0.870
RMSE      : 11.344 ± 1.159
R2        : 0.112 ± 0.067
MAPE      : 22.850 ± 4.080
Within2   : 39.631 ± 6.535
Within5   : 65.448 ± 7.166
Within10  : 82.847 ± 3.946
MaxErr    : 57.588 ± 7.173
MedianErr : 2.950 ± 0.765
MinErr    : 0.019 ± 0.012

===== microsoft__dit-large | Fold 1/5 =====
pytorch_model.bin: 100%
 1.25G/1.25G [00:01<00:00, 1.16GB/s]
Some weights of BeitModel were not initialized from the model checkpoint at microsoft/dit-large and are newly initialized: ['pooler.layernorm.bias', 'pooler.layernorm.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
model.safetensors: 100%
 1.25G/1.25G [00:05<00:00, 403MB/s]
[microsoft__dit-large | Fold 1 | Frozen 1/15] MAE 33.219
[microsoft__dit-large | Fold 1 | Frozen 2/15] MAE 10.111
[microsoft__dit-large | Fold 1 | Frozen 3/15] MAE 16.209
[microsoft__dit-large | Fold 1 | Frozen 4/15] MAE 9.424
[microsoft__dit-large | Fold 1 | Frozen 5/15] MAE 12.503
[microsoft__dit-large | Fold 1 | Frozen 6/15] MAE 11.411
[microsoft__dit-large | Fold 1 | Frozen 7/15] MAE 10.505
[microsoft__dit-large | Fold 1 | Frozen 8/15] MAE 10.529
[microsoft__dit-large | Fold 1 | Frozen 9/15] MAE 11.165
[microsoft__dit-large | Fold 1 | Frozen 10/15] MAE 11.169
[microsoft__dit-large | Fold 1 | Frozen 11/15] MAE 11.114
[microsoft__dit-large | Fold 1 | Frozen 12/15] MAE 10.245
[microsoft__dit-large | Fold 1 | Frozen 13/15] MAE 12.864
[microsoft__dit-large | Fold 1 | Frozen 14/15] MAE 11.188
[microsoft__dit-large | Fold 1 | Frozen 15/15] MAE 9.974
[microsoft__dit-large] Unfreezing backbone …
[microsoft__dit-large | Fold 1 | FT 1/30] MAE 9.573
[microsoft__dit-large | Fold 1 | FT 2/30] MAE 10.040
[microsoft__dit-large | Fold 1 | FT 3/30] MAE 9.647
[microsoft__dit-large | Fold 1 | FT 4/30] MAE 9.675
[microsoft__dit-large | Fold 1 | FT 5/30] MAE 9.899
[microsoft__dit-large | Fold 1 | FT 6/30] MAE 8.801
[microsoft__dit-large | Fold 1 | FT 7/30] MAE 8.401
[microsoft__dit-large | Fold 1 | FT 8/30] MAE 8.124
[microsoft__dit-large | Fold 1 | FT 9/30] MAE 8.298
[microsoft__dit-large | Fold 1 | FT 10/30] MAE 8.306
[microsoft__dit-large | Fold 1 | FT 11/30] MAE 9.731
[microsoft__dit-large | Fold 1 | FT 12/30] MAE 7.889
[microsoft__dit-large | Fold 1 | FT 13/30] MAE 9.094
[microsoft__dit-large | Fold 1 | FT 14/30] MAE 9.774
[microsoft__dit-large | Fold 1 | FT 15/30] MAE 8.375
[microsoft__dit-large | Fold 1 | FT 16/30] MAE 9.304
[microsoft__dit-large | Fold 1 | FT 17/30] MAE 8.136
[microsoft__dit-large | Fold 1 | FT 18/30] MAE 7.755
[microsoft__dit-large | Fold 1 | FT 19/30] MAE 9.636
[microsoft__dit-large | Fold 1 | FT 20/30] MAE 8.238
[microsoft__dit-large | Fold 1 | FT 21/30] MAE 8.133
[microsoft__dit-large | Fold 1 | FT 22/30] MAE 9.284
[microsoft__dit-large | Fold 1 | FT 23/30] MAE 8.715
[microsoft__dit-large | Fold 1 | FT 24/30] MAE 8.732
[microsoft__dit-large | Fold 1 | FT 25/30] MAE 8.359
[microsoft__dit-large | Fold 1 | FT 26/30] MAE 7.534
[microsoft__dit-large | Fold 1 | FT 27/30] MAE 8.067
[microsoft__dit-large | Fold 1 | FT 28/30] MAE 7.689
[microsoft__dit-large | Fold 1 | FT 29/30] MAE 9.330
[microsoft__dit-large | Fold 1 | FT 30/30] MAE 9.895
[microsoft__dit-large] Evaluating best checkpoint on fold 1 …

===== microsoft__dit-large | Fold 2/5 =====
Some weights of BeitModel were not initialized from the model checkpoint at microsoft/dit-large and are newly initialized: ['pooler.layernorm.bias', 'pooler.layernorm.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[microsoft__dit-large | Fold 2 | Frozen 1/15] MAE 83.027
[microsoft__dit-large | Fold 2 | Frozen 2/15] MAE 42.400
[microsoft__dit-large | Fold 2 | Frozen 3/15] MAE 7.821
[microsoft__dit-large | Fold 2 | Frozen 4/15] MAE 16.602
[microsoft__dit-large | Fold 2 | Frozen 5/15] MAE 10.394
[microsoft__dit-large | Fold 2 | Frozen 6/15] MAE 8.829
[microsoft__dit-large | Fold 2 | Frozen 7/15] MAE 10.874
[microsoft__dit-large | Fold 2 | Frozen 8/15] MAE 9.827
[microsoft__dit-large | Fold 2 | Frozen 9/15] MAE 9.352
[microsoft__dit-large | Fold 2 | Frozen 10/15] MAE 9.728
[microsoft__dit-large | Fold 2 | Frozen 11/15] MAE 9.949
[microsoft__dit-large | Fold 2 | Frozen 12/15] MAE 9.474
[microsoft__dit-large | Fold 2 | Frozen 13/15] MAE 10.340
[microsoft__dit-large | Fold 2 | Frozen 14/15] MAE 9.542
[microsoft__dit-large | Fold 2 | Frozen 15/15] MAE 9.564
[microsoft__dit-large] Unfreezing backbone …
[microsoft__dit-large | Fold 2 | FT 1/30] MAE 9.159
[microsoft__dit-large | Fold 2 | FT 2/30] MAE 8.351
[microsoft__dit-large | Fold 2 | FT 3/30] MAE 7.504
[microsoft__dit-large | Fold 2 | FT 4/30] MAE 8.036
[microsoft__dit-large | Fold 2 | FT 5/30] MAE 7.328
[microsoft__dit-large | Fold 2 | FT 6/30] MAE 6.819
[microsoft__dit-large | Fold 2 | FT 7/30] MAE 7.262
[microsoft__dit-large | Fold 2 | FT 8/30] MAE 6.850
[microsoft__dit-large | Fold 2 | FT 9/30] MAE 6.587
[microsoft__dit-large | Fold 2 | FT 10/30] MAE 6.598
[microsoft__dit-large | Fold 2 | FT 11/30] MAE 6.557
[microsoft__dit-large | Fold 2 | FT 12/30] MAE 7.203
[microsoft__dit-large | Fold 2 | FT 13/30] MAE 6.587
[microsoft__dit-large | Fold 2 | FT 14/30] MAE 7.362
[microsoft__dit-large | Fold 2 | FT 15/30] MAE 7.122
[microsoft__dit-large | Fold 2 | FT 16/30] MAE 8.380
[microsoft__dit-large | Fold 2 | FT 17/30] MAE 6.343
[microsoft__dit-large | Fold 2 | FT 18/30] MAE 6.597
[microsoft__dit-large | Fold 2 | FT 19/30] MAE 6.816
[microsoft__dit-large | Fold 2 | FT 20/30] MAE 6.183
[microsoft__dit-large | Fold 2 | FT 21/30] MAE 8.799
[microsoft__dit-large | Fold 2 | FT 22/30] MAE 6.153
[microsoft__dit-large | Fold 2 | FT 23/30] MAE 6.439
[microsoft__dit-large | Fold 2 | FT 24/30] MAE 6.644
[microsoft__dit-large | Fold 2 | FT 25/30] MAE 7.037
[microsoft__dit-large | Fold 2 | FT 26/30] MAE 6.065
[microsoft__dit-large | Fold 2 | FT 27/30] MAE 7.366
[microsoft__dit-large | Fold 2 | FT 28/30] MAE 6.225
[microsoft__dit-large | Fold 2 | FT 29/30] MAE 6.233
[microsoft__dit-large | Fold 2 | FT 30/30] MAE 6.138
[microsoft__dit-large] Evaluating best checkpoint on fold 2 …

===== microsoft__dit-large | Fold 3/5 =====
Some weights of BeitModel were not initialized from the model checkpoint at microsoft/dit-large and are newly initialized: ['pooler.layernorm.bias', 'pooler.layernorm.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[microsoft__dit-large | Fold 3 | Frozen 1/15] MAE 24.118
[microsoft__dit-large | Fold 3 | Frozen 2/15] MAE 11.860
[microsoft__dit-large | Fold 3 | Frozen 3/15] MAE 10.444
[microsoft__dit-large | Fold 3 | Frozen 4/15] MAE 8.265
[microsoft__dit-large | Fold 3 | Frozen 5/15] MAE 9.494
[microsoft__dit-large | Fold 3 | Frozen 6/15] MAE 8.905
[microsoft__dit-large | Fold 3 | Frozen 7/15] MAE 8.420
[microsoft__dit-large | Fold 3 | Frozen 8/15] MAE 8.275
[microsoft__dit-large | Fold 3 | Frozen 9/15] MAE 8.871
[microsoft__dit-large | Fold 3 | Frozen 10/15] MAE 8.311
[microsoft__dit-large | Fold 3 | Frozen 11/15] MAE 8.827
[microsoft__dit-large | Fold 3 | Frozen 12/15] MAE 8.322
[microsoft__dit-large | Fold 3 | Frozen 13/15] MAE 8.351
[microsoft__dit-large | Fold 3 | Frozen 14/15] MAE 8.293
[microsoft__dit-large | Fold 3 | Frozen 15/15] MAE 8.578
[microsoft__dit-large] Unfreezing backbone …
[microsoft__dit-large | Fold 3 | FT 1/30] MAE 10.403
[microsoft__dit-large | Fold 3 | FT 2/30] MAE 10.796
[microsoft__dit-large | Fold 3 | FT 3/30] MAE 8.825
[microsoft__dit-large | Fold 3 | FT 4/30] MAE 8.372
[microsoft__dit-large | Fold 3 | FT 5/30] MAE 8.540
[microsoft__dit-large | Fold 3 | FT 6/30] MAE 8.192
[microsoft__dit-large | Fold 3 | FT 7/30] MAE 8.083
[microsoft__dit-large | Fold 3 | FT 8/30] MAE 8.575
[microsoft__dit-large | Fold 3 | FT 9/30] MAE 8.258
[microsoft__dit-large | Fold 3 | FT 10/30] MAE 8.633
[microsoft__dit-large | Fold 3 | FT 11/30] MAE 7.935
[microsoft__dit-large | Fold 3 | FT 12/30] MAE 8.228
[microsoft__dit-large | Fold 3 | FT 13/30] MAE 8.024
[microsoft__dit-large | Fold 3 | FT 14/30] MAE 8.028
[microsoft__dit-large | Fold 3 | FT 15/30] MAE 7.960
[microsoft__dit-large | Fold 3 | FT 16/30] MAE 8.915
[microsoft__dit-large | Fold 3 | FT 17/30] MAE 8.050
[microsoft__dit-large | Fold 3 | FT 18/30] MAE 8.384
[microsoft__dit-large | Fold 3 | FT 19/30] MAE 8.354
[microsoft__dit-large | Fold 3 | FT 20/30] MAE 9.103
[microsoft__dit-large | Fold 3 | FT 21/30] MAE 7.724
[microsoft__dit-large | Fold 3 | FT 22/30] MAE 7.873
[microsoft__dit-large | Fold 3 | FT 23/30] MAE 8.100
[microsoft__dit-large | Fold 3 | FT 24/30] MAE 8.040
[microsoft__dit-large | Fold 3 | FT 25/30] MAE 8.352
[microsoft__dit-large | Fold 3 | FT 26/30] MAE 9.835
[microsoft__dit-large | Fold 3 | FT 27/30] MAE 7.860
[microsoft__dit-large | Fold 3 | FT 28/30] MAE 8.705
[microsoft__dit-large | Fold 3 | FT 29/30] MAE 7.604
[microsoft__dit-large | Fold 3 | FT 30/30] MAE 7.730
[microsoft__dit-large] Evaluating best checkpoint on fold 3 …

===== microsoft__dit-large | Fold 4/5 =====
Some weights of BeitModel were not initialized from the model checkpoint at microsoft/dit-large and are newly initialized: ['pooler.layernorm.bias', 'pooler.layernorm.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[microsoft__dit-large | Fold 4 | Frozen 1/15] MAE 70.540
[microsoft__dit-large | Fold 4 | Frozen 2/15] MAE 29.575
[microsoft__dit-large | Fold 4 | Frozen 3/15] MAE 6.888
[microsoft__dit-large | Fold 4 | Frozen 4/15] MAE 15.279
